Khowar,English
چ ھوݯرَ بینیان۔,They are going tomorrow.
چ ھَویو بیری موَکوےس۔, Dont walk in night
چ ھَینیَکَ , to cut
ا وغو کا چ ھینیتائی؟,Who cut off the water?
کَٹوری ݯارَ بیٹے شیٹی۔َ,The dried mulberries are completely
اسوم۔, i am
ݯاؤ,rank; status; office; position;
بوئی۔َ,A person with no status can't do anything.
ݯتَلوڑیک ,to take a quicklook/glance
 ݯَکھیئَکَ , to chew
څیق لویس پا لم ݯکھاوے۔, Take small bites and chew well.
دوئی۔,The dog neither gnaws the bone itself nor
شیٹی۔,The clothes haven't dried.
َ کو ڑو ݯوقھیران۔َ,The partridge is cooing.
ݯوکیک , to adhere to become fixed
َ پھور دوَ ݯوکیتائی۔,The plants have taken root.
َََ دورَ ݯوگَ شیر۔,The house is on fire.
ݯیݯیھ اݯر ݯیݯھاوے۔,(First) learn (and) then
ݯَیݯھیئَکَ , to teach to
کل۔َ,It is very hard to teach well.
َ کوس پویارَمت ݯیݯھاوے۔َ,Send me a message through someone.
کہاکَََݯیریتائی۔,The hen clucked (before laying an egg).
ݯ ھمیئکَ ,to cause to pain; hurt
پخٹےَ مہ ݯ ھمیران۔,The rice is hurting my stomach. (i.e. giving
کتاوے۔,Don't stir up dirt/dust.
َ ݯ ھوتیوَ موڑی بغائی۔َ,Lit. S/he went under the soil (i.e. died).
کھانجوَمانیَتام۔,I brought soil and plastered the wall.
خدائیَریر۔,Proverb. The thief calls on God (that no one
مَوران۔,My head is hurting today.
بوئیکݯھونݮورینَبوئیکَماراؤتائی۔,People used to kill birds with slingshots longer do
 ݯ ھونیکَ , to step tread; put the foot
توقہ ݯ ھوئی ا شوپیتائی۔,S/he stepped in the mud and
اویوتُام۔َ,I was hungry (so) I ate a lot of rice. (lit.
ݯ ھیاک کیہ حاال ا سور؟,How is the patient?
ݯیھ تر ,field
تہَہیہ ݯیھ تر جو چکیئیَشیرا؟,Is this field of yours two chakorum?
یل شو ݯھیر نوَدویان۔,The cow isn't giving milk.
ݯ ھَیو  ,overjoyed
ژاؤ اژیکوَݯ ھَیوَہوتُام۔,When (my) son was born I was overjoyed.
حا جت ,  need; necessity; necessary
گیر مہ حاجتَبویان۔,I need a saw.
حالت خرابَشیر۔, The situation is bad
ت رَوپ حاؤل خل بیٹےَ شیر۔,The salt is barely tasteable (i.e. is too little).
مہ حقَذائعَہوئی۔,My right was lost/usurped
ہیہ پایو خَ څم کا؟,Who is the owner of this goat?
 خبار , news; information
کیہ خبار گَٹی نوَ گیتیَاسور۔,S/he hasn't brought any news/information.
 ختوَمان,the central room and
براروسارَ تنہاَ ہوئی۔َ ََ,He made a house and separated from his
خدائی پرائی۔,God gave it (to me).
مہ ریڈیو خراب بیتیَشیر۔,My radio is spoiled/broken (i.e. doesn't
خ روشَ , itchy skin disease mange (of goats);
پائی خ رَوش بیٹےَََاسوئی۔,The goats have become mangy.
خڑانگ چھویوَ مہَ پیݯ نوَاریر۔,The quilt didn't keep me warm at night.
 خڑاؤ , rat
خڑاؤ بردوکیوَ ژوئےَََ بخَاریر۔,A rat gnawed a hole in the leather sack.
خطبہ , nikah; Muslim marriage ceremony
ایغو نو پشیٹی۔َ,Before the nikah the boy and the girl do not see each other
خفا ,  angry; annoyed; sad
لوَ کار نو کوریکو تت خفاَ بوئی۔,If (you) don't heed his words father will be sad
بوئیک خ فش اسوئی۔,The birds are in a cage.
من پیݰیروَسوت بسہَخالسَہوئی۔,A maund (approximately kilos) of flour
خلتہ , sack; bag
 جوشَ بٹیَ ژو ای خلتوؤَبغائی۔,Ten baiṭ s of grain fit into one sack.
خلت ھبارَ , family of son-in-law or daughter-in-law
خلتھبار بو لو ن وما گوئی۔َ,The party of in -laws has not yet arrived.
خم بائیَ کم بائی۔,Lit. Let it be level; let it be less.
 خمیئکَ , to cause to come down
َََ ݯھوغوَ دویس ای کما خمیتام۔َ,I caught the thief and hit him a few
خمیتام۔َ,I took a lot of people along and caused
خور , other; else; n another one; someone else
خورَدی کیہ لوَدوسانا؟,Do you want to say something
اللو خورائیَ کیہَشیر؟,Proverb. What does a lal (high -status person)
پ ھٹے خورمہ گوغیٹی بیٹےَ شیٹی۔,Some (but not all) of the dates are worm/bug -
خورویسےَ بیکوَ اݯرَ خیݰیَتام۔,When s/he /they got annoyed i convinced them
ژوڑَمہ خوش۔ پیشماکَمہَ دش۔,Proverb. Lit. I like the kernels; I don't like
موشوَ دوروت خوشان بیٹے بغائی۔,She went happily to her husband's house.
خوک کشے استاوا؟,Literal meaning: Did you slaughter a pig?
 خمار ,strong enthusiasm
نوَََگویان۔,I don't feel any great desire to eat now.
خماریَ , habituation
خَماریَ بیکو کاَ الکویان؟,Who will let (you) become accustomed (to
خومیک , to descend
َ جہاز یوَ خومیتائی۔,The plane landed.
َََ ژیریاَ کیہ بو خومیتاواَ؟,Did you have to spend much on the celebration?
 خون ,blood
خون کوریتائی۔,S/he murdered (someone). S/he did
خویان و ,  stomach
خویانان جم ن گیَ لچھاوے۔,Wash the stomach and intestines well and
توقو خیرَََگویان۔ , The mud stinks. (Lit. The bad smell of the mud is coming [to me]).
خیݰگوم شخَ اݰکاموتَویز۔,Cooked carrots are good for the stomach.
 خیݰیئک ,  to appease; mollify
خیݰیئکوخیݰیئکوَئرَََاسوئی۔,They have gone to appease (him/her/them).
څدار , sheet; large doputtah or shawl
څدارو پور دئی بوغی۔,Wrap your shawl around you before you go.
زپان څوپ کوری کیائی کوسان؟,Why are you piling up the clothes 
څوپیک , to collect piece by piece
څو غنَ موٹ وَہوئی۔,The chisel became dull/blunt.
چایو څوقے اف ن سائی۔َ,S/he gulped his/her tea and
شَوقہ څون ئر رو بیرائی۔,The shoqa has become too short (just
څہت ,slit at sides of shirt
َََ پیرانو څہتَ زَ روٹیھَََشیرر۔,The slit of the shirt is ripped.
َََ څہتہ پولوغ شیرائی۔َ,There is a thorn fence in the gap in the child
 څیقَََکیرییران۔,The child is crying.
څھون ځروَسورا بخ نیریے۔,Make a hole with the awl.
ځاہ ,  wet; moist; 
َََ بوݰیکوَ مہَ زپ ځاہَہوئی۔َ,When it rained my clothes got wet.
َََ کیہ ځاہَََکوسان؟,What (moist) dish are you making?
ځوخَمہ ݯَونگ پرائی۔,A/the thorn pricked me.
دار ,  wood
دارو قے مت ا سٹیَ شیر۔,The price of wood has risen.
دار بت ن یسیَ بیش۔,Let's sit for a little while and (then) go.
داریک , to tolerate; withstand; endure;
وے۔,Fatten up the (male) sheep well for
 داغ , hot oil poured on rice after it is cooked; stain 
َپختیئو داغ نوَ کوریَ اسوئی۔َ,They haven't put the hot oil on top of the rice.
 ََاوا داغَہوتُام۔َ ََ,I am devastated (e.g. at someone's death).
 دال ,(i.e. split dried legumes);
ھَوران۔َ,Split chick peas do not cook quickly.
ََژوؤ دال دیتیرَیوؤَدالَدیتیَاالئی۔َ , He got the grain ground coarsely and
داڑیئک , to drive away
لیشانَ دودیریَداڑیتائی۔َ,S/he released the cows for grazing far
دون دائیَ نوَݯوکیتائی۔,
داہت ا وغو موَََپییی۔,Don't drink the dirty water.
کوؤ۔َ,Pound/crush the spices/ingredients (and
َََ شَلیوَ دپھیٹی پازگاہ کورے۔,Pound the (unhusked) rice and clean it.
ہونا ,to encounter
دچھارَہوئی۔َ,They faced misfortune
َََ تتَ ژاووَ سوم دوچھارَہوئی۔َ,The father embraced his son.
َََ شامہ پتَ موشوَ دراک نوَہوئی۔ , By evening there was no sign of (the man/her husband).
َ کیہَ دراکہ نو پرائی۔,S/he didn't understand (i.e. grasp the
د رخت , trees (non fruit -bearing) and bushes
دارانودرختانَپھیرکیَدارانوَاریر۔,He cut down trees and bushes and made a basket
 بیٹےَ سفاَرارَاݯرَََہائی۔,Having suffered troubles s/he returned
نییک۔َ,Riddle: There is a house but no door
دروݯ ڑائی دیٹےَََشیر۔,Grapes have begun to ripen. (i.e. to turn
کوریَشیر۔,Itching has tormented me.
۔َالوے۔,Curse: May you not have fingernails to
دردانہ , pearl; gem; excellent thing or person
دوردانہَتہَژاؤَفقطَدوردانہَبیرائی۔َبیرائی۔,Your son is (turns out to be) quite a gem.
ہوئی۔,When the landslide occurred  the field broke
دریݱ ژویوَ غیری اوغ چھیردوَََبیرائی۔,When the scree slope slid down into the
دری غ , mere talking/thinking about starting
دری غ کوریَمو بیہچے۔ روپھے۔,Don't just sit talking/thinking about starting -
دش diš a, displeasinشیئکَمہَ دش۔
 دشَ موش۔َ,He is a wonderful/very good man.
َ اوا تہَ سوَ دش۔َ,I am angry with you.
د شل , verbal abuse 
د شل کوریک شَومَعادت۔,To verbally abuse is a badhabit.
 دک , spinning weight
دک گیئکو نو بوم۔,I am not able to spin (with) a spinning
څیقوڅیقوَ دالسہَ کورے۔,Console the child!
دمیک , to pull apart raw wool by hand
پوݰپَ دمیکوَ غوش نوَ بویان۔,There is no time to hand -card wool.
دنیچ ,  smooth and straight 
َََ دنیچَدارَ حا جتہ گویان۔َ, Smooth straight wood is needed/useful
نوَََبیرائی۔,The boy turned out to be not very good 
دنیکو یادی گوئی۔,On thinking it will come to mind/be
دواہت ݯیقھیران۔,The door is creaking.
دَََوَدیرَیَ ,distant; far; distance
دودیریار خیس مت بیٹےَ ہائی۔,S/he came from far away tired out.
دوڑ , a loud
دوڑَدیکو با زو ݯ ھمیتائی۔,From being hit hard (my) arm hurt (me).
دوڑیَکَ , to shiver (with cold or fever)
دوسیک , to hold; grasp; catch ; grab
نوَوریتائی۔َدوسیکوَنوَبیتَبیتام۔,The hen escaped; I wasn't able to catch
چ ھَوݯرَ دَوشنبہَشیر۔,Tomorrow is Monday.
دوݰ ,  yesterdsterday I didn't have time.
 دوَغَ ,milk; dairy product
تکلیفدوغَکہَنوَہوئیَتکلیفَبوئی۔,If there is no milk there will be a problem.
َََ دَ غُوران روئیکو مو الےکَ۔َ,Don't let your fingernails grow
َََ دُ غَور ن ݰپوڑی بغائی۔َ,His/her/my nail fell/came off.
دون ݯھومیکوَََکیرییران۔,S/he is crying from toothache.
 دوؤن , ghee
کوؤ۔,Saying: Rather than talking a lot
دونځیَکَ , to cut into pieces
ٹھیشٹوانَ جمَدونچی۔,Cut the onions nice and fine.
 دونیَکَ , milk pot
یل شوَدونیکہ ٹ پ ݯھیر پرائی۔,The cow gave enough milk to fill the milk pot.
دوو , torch made of single stick; light
َََ دوو ݯکاوے مݰکیش۔َ,Light a torch; we will look for it.
َََ دوو کوسیکوَپوشیتُام۔َ,I saw an evil spirit walking about 
دوہیےَوے جمع بیٹےَ دعا اریٹی۔,All the people came together and said a
پرائی۔َ,As I crossed over the ridge I came upon an ibex
. دَیَ , also; else; and so forth
واَدی کیہ لوَدیت۔َ,Say something more/else.
َََ دیکَ تہَخوشا؟,Would you like to be beaten? 
َََ مݰکیکوَ سار دیک جم۔,It is better to give than to ask for (things).
َ ائیکونَ متے پرائی۔,S/he gave the egg to me.
سٹیَ دُیک نوَ۔َ,Proverb. The little boy knows how to run
ڈازَیَ , firing in the air (on happy occasions)
ڈازی کوراوا ت ھَوئیکَ پھتَہوئی۔,While (someone) was firing in the air his rifle
باؤَروئیَڈالَباؤَگونیان۔َگونیان۔,The people are coming in groups.
ڈانگوَ تیل لچ ھوران۔, On the hearth oil is boiling.
ڈپھیئکَ , to knock; to beat fast; pound (of heart)
 چ ھَویو کاَ دَواہتہَ ڈپھیتای۔,At night someone knocked at the door.
ڈٹ ,pit;  sagging in the middle; concave
 ڈخیئک, to nudge/prod the mother's
بݯھوڑ ننوَ ڈخیران۔,The calf is nudging/prodding its mother (to
ڈشٹ دیٹےَ مہ پشاوے۔,Measure it in handspans and show me.
ڈقَ ڈفَدونیان,The boys are playing the tambourine.
ڈَقَ س بقار نوما گوئی۔,The boys haven't come back from lessons/school yet.
 ڈک , a small; swelling; hump (on back)
شیر۔,A rock in the wall has come out and is
َ کریمہَ ڈکَموش کا اوشوئی؟َ,Who was the hump -backed man?
ڈنڈیکَ , to fluff wool with a bow
ڈنڈیران۔,The old woman is fluffing wool with a
َََ ڈقَ سبقو ڈنڈی اوائی۔َ,The boy studied the lesson
کور۔,I can't bite hard apples.
ہوَتام۔,My ankle hit a rock and I was unable to
ڈوخ , bare earth; barren land; infertile
حیوان گازوَ ژَوئےَ ڈوخَََاریٹی۔,The animals ate the grass to the roots and left bare earth.
 ڈور ,hopper
َََ ڈورار غیر خورا نوَبوئی۔,A water mill cannot be without a hopper.
َََ ہے دوری لوٹَڈورَواؤ اسور۔َ,In that house there is a huge old woman.
نوَبوئی۔, Can't happen
ڈَوغیران۔,The cow is lowing from hunger.
ختومانَسَاَََؤزیران۔ )ََ ( He is,making a house on high ground.
َََ ڈوکَ ژغاَ گان بوَََکوئی,The wind blows a lot at elevated places.
 ڈوم ,professional musician
ڈوم جونالیہَََباشینیان۔,The Doms are playing (instruments) in the (polo)ground.
 ڈوم ,pile; heap; large; quantity
بیرموغو ݯ ھنیکو یوَ غیریَ ڈومَہوئی۔,When the branches of the walnut tree were fell down.
 ڈون گو  , n unripe (fruit); not fully
َََ ژ وڑیَڈونگوَ شیٹی۔,The apricots are unripe.
َََ ڈونگوَ موش لوَ غلط پرائی۔َ,The insensitive thick -witted man said wrong
ڈیم ,headless body; trunk; body of cow
َََ سوروَ لیتائیَ دیمو نو لیتائی۔َ,They found the head (but) didn't find the
َََ لیشو ڈیمَََبیٹے اوبریتائی۔َ,The cow died because of a swollen belly.
ڈیمَیریاڅ , ɫats  round (three -dimensional; spherical)
ناَواہخیَََاریر۔,It was difficult to bring the round (spherical)
ڈیکڈیکَݯھومیتایا؟,Does (your; his/her) leg hurt?
نیسیَبغائی۔,S/he got angry and left.
ڈینځوئیک , to display anger (physically) and go away still
ڈینځوئیَ افَ نیش کوئیَََبغائی۔,S/he left in anger and went off somewhere.
 ڈیئک ,to make feel cold; chill
اوغَ مہَڈیتائی۔,The water chilled me.
راغیشٹیَ روپ ھیَگتر۔,Get up early and come.
راؤ , (large) flock; species of rhubarb
اڑیو ای راؤ خورَََگوئی۔,Another flock of ducks will come.
اوغَرائی بیٹے لشٹ گازہ ٹ پَہوئی۔,Water has turned into thin mud and covered
ریٹیَََرائیران۔,The dog is barking.
رَپ ھیَکَ ,to stand; get up; to stand
َ بپَ رپ ھیکوَ نو بویان۔,The old man can't get up (from
بیتام۔َََ,I wasn't able to wake up.
َ کماَ ژنَووٹہَ رپ ھونیان؟َ,How many people are standing in the
رک ھوݰیک ,to crawl; drag oneself
کوسیکو نو بویان۔َ رک ھوݰیران۔,S/he can't walk; s/he drags (him/her)self
رکھیشے ائے ا وغوَدراوے۔,Drag it away and throw it into the water (i.e.
رمبوغَ جم کوشَ کوریَشیٹی۔,The bean plants have produced good pods.
ن گیکوَ زپانَ رنگ ن َسَیتائی۔,With washing the color of the clothes came
بوئی۔َ,A blacksmith can't work without charcoal.
 روژایو , daughter -in-law
تہ روژایو تعلیمیا۔َََبیتعلیم؟,Is your daughter -in-law educated or uneducated?
 روشَتَ ,  bright; light
َََ روشتَ کوری لوڑے لیسَ۔َ,Light (the place); you will find it.
َََ روشتَ دنیوسارَوفا نییک۔َ,Proverb. One cannot trust light/bright
روݰ جم کو رمَہوئی۔,Such a good thing happened!
َََ روؤݰ پائی چھائیَََاریر۔,The gray goat gave birth to a kid. ( )
االئی۔َایَروؤݰَاڑیَماریَاالئی۔َ,He killed a female duck and brought it.
روَغَ , crack; small runnels in a field;
َََ شیَشہَروغَبغائی۔,The glass pane cracked.
َََ روغَ دار قے مت بیٹےَ شیر۔َ,Pine wood has become expensive.
بوئی۔,Proverb. A dog's tail never becomes straight.
رونخی رَََوَ ,male goat (younger than tic̣)
گ جورَرونڅیرو کوٹیتائی۔,The Gujur castrated the male goat.
پرائی۔,When I saw the leopard I started trembling
گنیتُام۔,I bought dye to dye thread.
گازَ روئیران۔,The grass is growing.
روئیَََبَازاروتَََبینیان۔,People are going toward the
ریشٹ گیٹےَ سینوَبوتیتائی۔,An avalanche came and blocked the river.
 ریݰو , bull; ox; stupid person
َََ ریݰو ق ربائیََََ اریر۔,He sacrificed a bull.
َََ فقط ریݰو تان بیرائی۔َ,S/he turned out to be a complete idiot.
 ریٹی , dog 
شاپیرَ مہ رینیوَََاویوئی۔,A wolf ate my dog.
َََ توغوت ریکو دی کار نو اریرَ۔َ,Even when (someone) told (him/her) (s/he)
َََ سبق ریکوَ بیَاسور۔,S/he has gone to study (Lit. read a lesson).
َََ ڑاغ پائی شیتھانَبوئی۔,A hornless goat is mischievous.
َََ ڑاغ کپالَََڈیییان۔,(Someone’s) bald head is feeling cold
ڑائی ,  having a design; patterned; printed; colored; design; pattern
َََ ڑائیَ زپ دکانہ نییک۔,There are no patterned clothes in the
َََ م رَݯَ ڑائی دیٹےَََشیٹی۔َ,The mulberries have begun to change color (ripen)
 ۔ ڑڅ , riddle
  ڑڅ دیک تہڅَدیکَتہَخوشا؟َخوشا؟,Do you like to tell riddles?
ڑونگَریݰوَ شوم کݰیران۔,The hornless bull isn't plowing
کہاکوکہاکوَاوائی۔,A fox took the hen away.
ڑووایکَ دارا ݯھَونیکوَ مہَٹھوریتائی۔,When I put my foot on the round log it caused me to fall.
 ڑویک , to howl(wolf); to bray (donkey)
َََ بیریَشاپیرَ ڑویران۔,Outside a wolf is howling.
َ گوردوغَ ڑوئیران۔َ,The/a donkey is braying.
ڑی خ , curved blade -like implement for mixing
 ڑینگیَکَ ,to move; shake
گانگانَکوریکوَ کانَََڑینگونیان۔,The trees are shaking from the wind blowing.
زاب کوریَمہ گٹی اوائی۔,S/he insisted and took me with her/him
. زار , gold; golden embroidered clothes
زاراَمڑاغ کوریَ ژوروَویݰیتائی۔,S/he wrapped his/her daughter with golden
نن تیےَیا روَہوئی۔,(Someone's) parents became old.
زاڑیئک , to shake (a tree to knockdown)
دشیَیاڑیتائی۔َََ,The earthquake shook (us) strongly.
َََ زاغَݰوݰپوت ٹار بییَیٹی۔,ṣoṣp (type of halwa) cooked in
َََ زاغی موَ دوےسَ۔َ,Don't touch the (animal) fat.
زان و ݯ ھ موران۔,(My) knee is hurting.
 ۔ زچ , lactating (of human; animal)
زچ یل شو پہ تکوسار قے مت۔,A lactating cow is more expensive than a
ز رنگیئک , to produce a metallic sound
چومرانَز رنگیٹی چ ھَویوَبغائیََ۔,They caused the metallic things to clank/rattle
ز روپ , very close to one another; almost
اسمائیَ ا ستاریَز روپ نا یونیان۔,The sky seems almost covered with stars.
ھُوَدئیلیک۔,In life (people) should help one Another
زنگار گٹیَ ځاہو خل خور بیٹےَ شیر۔,The taste of the salin/curry has changed and
الوسان؟,Where are you taking me insistently?
زوغ ݯھیر نوَدویان۔,The yak is not giving milk.
زومار اوڅ ن یس یو گونیان۔,Springs emerge in the mountains and flow
باندَََاریر۔,The hillock collapsed and blocked the road.
اورا رو گیٹےَ زوموئیکہ پرائی۔,When s/he became sleepy s/he began to yawn.
 زونیکَ , to beat (someone); soundly
جمَ زَونیکو اچھو بچےَ تھوبہ اریر۔,When he was soundly beaten he repented
ہیہَزماناَ زوہچَ شَمیٹی کا نوَََکونیان۔,These days no one makes goat -hair ropes.
زوئیَکَ , to obey; acquiesce; agree to
تان بوغی۔َ مہ لوا نوَزوئیتائی۔,You go yourself; s/he didn't agree to what I have said.
   ځَہَچَ , yellow
زہچَریٹیَ شاپیرو یار۔, A yellow dog is a friend of the wolf.
 زیپ ,  good form/shape/order/condition
مہ ا شناری کیہَزیپہ نوَشیرائی۔,My things turned out to be not in proper
ژان ځاہ نوَہویا؟ , Literally: Hasn't your life been moistened?
 ژغہ, place
ژغہ بدیل کوسیا؟,Shall we change places? 
ژنگ ,war
ژنگ ئر روا تبایہ بیسیر۔,If war had begun there would have been destruction.
 ژانوار, animal; living creature
کیاغَلوٹ۔,Among animals some are bog
ژاؤَ۔َََ ,  son.
َََ ژاؤ اژیکو ڈازیَََکونیان۔,When a son is born (people) fire in the
ژو قے متَہوئی۔,Grain has become expensive.
 ژور ,daughter
مکہَہوئیَمَوَوَشانتےَدوئی۔,When a daughter reaches marriageable age
ژوڑو تیلَمہ ݯ ھمیتائی۔,The oil of nut kernels caused me (stomach)
ژ وَڑیَپوچیرو پلوغَََگوغیٹی۔,Saying. The apricots are ripe; the apples are
چور ژون سیرَا پھار ن سائی۔ , Four persons crossed the bridge (in the direction away from the speaker).
ژَََوَن وَ اسور۔َ وَ ہمَموَ بور۔,S/he is alive; don't
 ژوئی , water channel
ژویہ ئرَ ا وغ یو دیت۔,Go (up) to the water channel and let water
ݰپیک نوَژیبویان۔,S/he isn't eating (food/the meal).
ژیَََرغیئَکَ , to cry loudly; shriek; scream
چ موٹ پولوئیکوَڈقَژیرغیتائی۔,When his finger was burned the boy shrieked.
 ژیریئک , to tolerate; bear; suffer; 
ژیریئکو زار۔ نو ژیریئکوَݱار۔, To be patient yields gold; not to be
ژینگوغو پویسیَ چیغَاریر۔,S/he saw the scorpion and shrieked 
۔ ژیرَیَ , festivities
ژیریژیریَ ژوئےَ ہاتام۔,I came after eating at a celebratory feast.
ژیل پ ھوک بیرائی۔,The blanket turned out to be (too) small.
ژینَ ڈٹ بیرائی۔ اوریئکو نو بیتام۔,The charpai was loose (i.e. sinking in the
َََ ݱار دیٹے رینیوَمارتائی۔,They gave the dog poison and killed it.
جمجمَ ݱق څائیَََکورے۔,Make nice thick tea (i.e. in which there is
ݱنگ ن سیکوَمہَژانہ غیریَہائی۔,On climbing high I felt dizzy.
ݱوَتَ , early
چ ھوݯرَ ݱوتَروپ ھیلیک۔,One should get up very early in the
َََ بو سون بیکو کیرییَݱوغ بوئی۔,When spring comes sheep are thin.
ݱونگَزومالہ کو ڑو ا سور۔,There is a partridge on the conical hill.
ݱوؤنَگَََََ , leaning over with neck
ݱوَؤَنگ بیٹے لوڑے پشیس۔,Lean over and look; you will see (it).
ݱیقھیئَکَ ,to creak
دواہیےَےیقھیران۔,The door is creaking.
ہیت ݱینگیئکوَ نوَََبیتائی۔,They were not able to pull (well).
سادہ , simple; innocent
 ق دیموَروئی بوَ سادہ بیرائی۔,People in the old days were very simple.
ساؤَزَ ,blue or green; in good order fixed
 ساَََؤزَ شوت رَمہ سوم نییک۔,I don't have any blue thread.
 ہے ڈقَ ساؤزہ پھونیکہَََجم۔,That boy is good at dancing to quick
گمبوری۔,The iris is a very attractive flower.
ستھار, Chitrali sitar
ستھاروَ سَم قے مت بیٹےَ شیٹی۔,Sitar wires have become expensive.
سخ بوہتَمہ پونگتو ا شٹوغَہوئی۔,
دیٹےَََلوڑیتائی۔,The soldier looked at (i.e. checked) the cargo
سخت , severe
َََ شوَؤَسخت توَ بنیلیک۔,The bolt of homespun cloth should be
سخیَ روئیَ سفو خوش بوئی۔,Everyone likes a generous person.
سسیری بیٹے یوریَمو کوےس۔,Don't walk bareheaded in the sun.
بیتیَاسوئی۔,Today all human beings are grieved.
سگ ونَ شخ پ ھوکَ تروقَبوئی۔,Cooked fenugreek leaves (methi) is slightly
ہےَ ڈقوَسملت گیٹےَََشیٹی۔,That boy's mustaches have appeared. (i.e. he
سمندار غی رونیان۔,Rivers come together and become a sea.
بیرَائیََََ اَے۔,O the sweet scent of the beloved is even
سن گویَسینوَموژوَ ہل بوئی۔,Otters live in the river.
تان۔,It's been seven days; it has been raining
َََ ہیسَمہ سورو ݯ ھمیتائی۔َ,(S/he; it) gave me a headache.
ھینیان۔,Poor people are picking up ears of grain
سورار , from above
ݯھییےاراَسو رم بوَشیر۔,There is a lot of gold in Chitral.
سوروَغَ , water rationing turn 
سوروغو نشَ نیرییَتام۔,I completely utilized my turn for water.
سومیئک , to decorate; adorn; dress up
کومورو بو ݰئیلَََسومیٹیَََاسور۔,The girl has been beautifully dressed up.
ہیسَ زپَسوئیک ݯیݯ ھَََوَران۔,S/he is learning how to stitch
سوئیَونَبیکینَختانَسوئیَݯوگَََشیر۔,Because of smoke the room is (all) sooty.
چھاؤنیؤَسیرا ٹ رک پھار ن سیران۔,A truck is crossing to the other side of the
َََ سیرجوَ پخٹےَ بوَزوالو ا شناری۔,Boiled lentils (whole with skin) are a very
کَݰیلیک۔َ,Lentils should be sown in the spring.
َََ سیرجوَ ش حدَ ژغاَ جم بوئی۔َ,Lentils grow well in the high mountain
سیری کن دوریہَسیر؟,How much does barley cost per seer?
سیریک , to haul; to carry from one place to another
پلیلَ پھولوکَسیرینیان۔َ,The ants are busy carrying grains.
سیری گ رݰپو بیکو بوَ زیاد بویان۔,The river rises when summer comes.
شاپیر کیری یوَ ژوئے بوغ دو۔,A wolf ate the sheep and went away
 شال , cattle house
گوجوروَشالَ دَودیریَشیر۔,The Gujur's cattle house is far away.
شاَمَ , evening
شاموَ ݰپیکوئے بوَؤَتَََریٹی۔,The evening meal is called boót . (i.e.
شانہ ن شیسیاَ دوری ن شیش؟,Shall we sit in the courtyard or in the house?
شت , sour; sour substance 
ہنیݰَدروݯ شُتَشیٹی۔,Now the grapes are sour.
سَوگون بوَ منشورَ شخ۔,Methi is a very well -known vegetable.
شخیئک ,to pound 
لینوَ شخیٹی کچھایہَدیکوَویزی کوئی۔,If one pounds hollyhock (flowers) and puts it
شڈال , unfinished
َََ ہیسَ شڈالَ کھانجوَ مشی۔,He is a mason who makes uncut stone
بغائی۔َ,This year because of cold weather the rice
شیاڑ پخٹےَ ݯ ھمیر۔,Stale rice causes a (stomach) ache.
 شاَنَ,courtyard
شیانہ ݯھیروَغوݯھارَسوَرا پھور دو۔,In the courtyard there is a foaming waterfall;
شی بڑانگ ,species of mynah
شیبڑانگ بوَݰئیلَ چوڑیر۔,The mynah sings beautifully.
شیو , cool
انوازوَ ش رَو گانَ بوَ مزاَََاریر۔,The cool morning breeze was very
شیہَ ݱنگ زومہنگَزومہَہالَََبوئی۔,Markhor live in high mountains.
ش غور ,sand
کوئی۔,When they bring sand they will start to
بوئی۔,When it rains an umbrella is used.
شالک څروٹھیران۔,The grasshopper is jumping.
شلوغَدیاواَمہ اورا روَہائی۔,(i) While (someone) was telling a story
شحدینَ شل نو بوئی۔,Rice doesn't grow in the high mountainous
پ ھروایلَ شمان ناوے۔,Put a drawstring in the shalwar.
ا ستوروَ شنگ ور د رَونگَبوئی۔,The intestines of a horse are long. 
شو , handspun woolen cloth
شو تیار بیٹےَ شیر۔ بہتیٹی ن ما۔,The handspun cloth is ready - they haven't yet
شُوَمیوانَژی بویان۔,The porcupine is eating fruit.
 شوپینگاہ ,the third day after today
شوپینگاہَمہ ا م تحانَشیر۔,I have an examination three days from
شوت چوئیکَ جمَنو۔,It is not good to swear oaths.
شوخڅیَکَ , to pass
ل ہازَشوخخی رو بیرائی۔,(I have just learned that) the patient
شوتروَ شونخرَ پتیری کورے۔,Put the thread in the needle.
 شوَََر , hundred
شورَ روپیہَ مہ ضیورتَبونیان۔,I need a hundred rupees.
َََ شورو کہَہوئی ا ݰایکَ تیرییر۔َ,When it has become autumn the cold
شیاوےَمو۔َ روئی اَی غوَََدوئی۔,Don't incite the people; they may fight with
شوڑ قلم خوشخط ن ویشیران۔,A reed pen writes beautifully.
شوقَََہ , Chitrali robe of handspun woolen cloth
شوقہ ݯھییےارو قویم انجا رم۔,The shoqa is a Chitrali national dress.
 شوَمَ ,lowest part of a traditional Chitrali house
دارَشوموَدارَدوئی۔َدوئی۔ , (People) keep wood in the lowest part of the house.
شومَژاوَوَئے کیہَیراغ۔, A bad/incompetent son is not
شوَنکھیک/ شومکَھَیک , to smell; sniff
َََ شومکھیکوت څتَدی نوَ پرائی۔,S/he didn't give (me) enough (even) to
َ گمبوریَشومکیھ ا شیےوخیتام۔َ,Sniffing the flower I sneezed.
ا م تحانوَموڑار اواَ شومیمان۔,I am worried about the
تہَ شنہ اوغ پیݯ نو بویان۔,Water doesn't stay warm on your lips.
